name,address,city,state,zip,price,source_url
The Landing at Ocean View Hills,455 Dennery Rd.,San Diego,CA,92154,2929.78,property://19222/
Regents Court,8465 Regents Road,San Diego,CA,92122,,property://17554/
Ocean Air,10500 Sea Pearl Cove,San Diego,CA,92130,4284.55,property://19229/
Avino,5040 Camino San Fermin,San Diego,CA,92130,3305.55,property://19215/
Broadstone Mission Valley,1908 Hotel Circle North,San Diego,CA,92108,2646.12,property://23032/
Navajo Bluffs,6575 Jaffe Ct.,San Diego,CA,92119,1773.75,property://19227/
Tenney North Park,2260 El Cajon Blvd,San Diego,CA,92104,,property://22352/
Diega,702 Broadway,San Diego,CA,92101,2477.65,property://17949/
625 Broadway,625 Broadway,San Diego,CA,92101,2005.88,property://17698/
Ancora,110 Beech Street,San Diego,CA,92101,2427,property://22542/
Stone Arbor,612 Los Arbolitos Blvd,Oceanside,CA,92054,2331.2,property://18287/
Alta O'side,1001 N Coast Hwy,Oceanside,CA,92054,2902.78,property://21629/
Pierside,260 Mission Avenue,Oceanside,CA,92054,3153.56,property://14009/
Solana at Grand,1501 East Grand Avenue,Escondido,CA,92027,1780.5,property://15634/
Marlowe Palomar Heights,"101 Chamomile Glen, Unit 100",Escondido,CA,92025,2607.03,property://21696/
Latitude33,515 Meander Glen,Escondido,CA,92025,2307.75,property://18826/
Altair Apartment Homes,1361 W 9th Ave.,Escondido,CA,92029,2415.88,property://19212/
Haven76,2414 S Escondido Blvd,Escondido,CA,92025,2702.68,property://18769/
Madera Ridge Apartments,1051 West El Norte Pkwy,Escondido,CA,92026,2280.15,property://19974/
Alcove,650 North Centre City Pkwy,Escondido,CA,92025,2503.02,property://18764/
Sereno,930 3rd Avenue,Chula Vista,CA,91911,2904.12,property://19058/
Stirling at Cota Vera,2045 Paseo Belluno,Chula Vista,CA,91913,3070.97,property://22266/
Vista Lane,1440 2nd Avenue,Chula Vista,CA,91911,,property://23381/
Tavera,1465 Santa Victoria Rd.,Chula Vista,CA,91913,2971.25,property://19244/
Artisan at the Village of Escaya,1151 Encanto Loop,Chula Vista,CA,91913,2643.65,property://22021/
Terra Vista,1441 Santa Lucia Rd.,Chula Vista,CA,91913,2544.32,property://19245/
The Residences at Cota Vera,1575 Camino Altezza,Chula Vista,CA,91913,2102.65,property://18968/
Missions at Sunbow Apartments,825 East Palomar St.,Chula Vista,CA,91911,2513.06,property://19242/
Teresina,1250 Santa Cora Avenue,Chula Vista,CA,91913,,property://22131/
Rivue,1902 Millenia Ave.,Chula Vista,CA,91915,2252.25,property://17372/
Palmera,1225 Broadway,Chula Vista,CA,91911,1977.88,property://20913/
Boardwalk at Millenia,1660 Metro Ave.,Chula Vista,CA,91915,2467.06,property://17545/
Luminary at Cota Vera,6000 Luminary Drive,Chula Vista,CA,91913,,property://22361/
Salerno,1630 Paseo Monti,Chula Vista,CA,91913,4400.25,property://19237/
Rolling Hills Gardens Apartments,2290 Mackenzie Creek Road,Chula Vista,CA,91914,,property://12231/
Azul Chula Vista,310 K Street,Chula Vista,CA,91911,2306.88,property://19734/
Rosina Vista,1551 Summerland St.,Chula Vista,CA,91913,2698.25,property://19236/
Seta Apartments,7346 Parkway Dr.,La Mesa,CA,91942,2564.75,property://19239/
The District Apartments,8727 Fletcher Parkway,La Mesa,CA,91942,,property://15586/
Central Park,5636 Amaya Dr.,La Mesa,CA,91942,2675.75,property://19219/
Adagio,5427 Lake Murray Blvd.,La Mesa,CA,91942,2306.75,property://19210/
Bella Terra,365 Pomelo Dr.,Vista,CA,92081,2093.88,property://19216/
Softwind Point,881 Soft Wind Rd,Vista,CA,92081,2123.88,property://19240/
Shadowridge Woodbend,1500 Shadowridge Dr.,Vista,CA,92081,2360.88,property://19249/
Whispering Oaks Apartments,468 North Twin Oaks Valley Road,San Marcos,CA,92069,2554.56,property://11318/
222 North City,222 North City Drive,San Marcos,CA,92096,2584.06,property://22816/
Overture San Marcos,852 Avenida Ricardo,San Marcos,CA,92069,1922.06,property://14657/
Anden,152 North Twin Oaks Valley Road #106,San Marcos,CA,92069,3724.38,property://16052/
Santee Villas,10445 Mast Blvd.,Santee,CA,92071,2228.75,property://19238/
Ascend2300,2300 Rising Glen Wy.,Carlsbad,CA,92008,2709.88,property://19234/
Lucia at Aviara,1205 Aviara Parkway,Carlsbad,CA,92011,,property://22426/
The Lofts at Carlsbad Village,1040 Carlsbad Village Dr,Carlsbad,CA,92008,3645.45,property://19224/
